source,label_col,subgroup_col,subgroup_val,auditor,accuracy,demographic_parity,equalized_odds,equal_opportunity
deepface,gender,race,6,naive,0.47540983606557374,0.0,0.0,0.0
deepface,gender,age,0,naive,0.486013986013986,0.0,0.0,0.0
deepface,gender,age,1,naive,0.5582655826558266,0.0,0.0,0.0
deepface,gender,age,2,naive,0.576271186440678,0.0,0.0,0.0
deepface,gender,age,3,naive,0.632398753894081,0.0,0.0,0.0
deepface,gender,age,4,naive,0.4575289575289575,0.0,0.0,0.0
deepface,gender,age,5,naive,0.40955631399317405,0.0,0.0,0.0
deepface,gender,age,6,naive,0.3560606060606061,0.0,0.0,0.0
deepface,gender,age,7,naive,0.49645390070921985,0.0,0.0,0.0
deepface,gender,age,8,naive,0.5413533834586466,0.0,0.0,0.0
deepface,gender,overall,-1,svm,0.8624444444444445,,,
deepface,gender,race,0,svm,0.8364905284147557,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,1,svm,0.8534798534798534,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,2,svm,0.7334754797441365,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,3,svm,0.8274509803921568,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,4,svm,0.8312883435582822,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,5,svm,0.826271186440678,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,race,6,svm,0.8360655737704918,0.07868062479228982,0.1501934250193558,0.14783966684018734
deepface,gender,age,0,svm,0.583916083916084,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,1,svm,0.6747967479674797,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,2,svm,0.8050847457627118,0.2874893797790994,0.34925352471827,0.3485229972694067
deepface,gender,age,3,svm,0.8862928348909658,0.2874893797790994,0.34925352471827,0.3485229972694067
